pot.label,census,calendar.date,rep,within.rep,density,treatment,species,researcher.inititals,number.of.plants,height.cm,number.of.leaves,final.mass.above,final.mass.below
34,2,,10,2,5,noshade,Salvia colombriae,,3,49,11,,
34,2,,10,3,5,noshade,Salvia colombriae,,3,66,10,,
35,2,,11,1,5,noshade,Salvia colombriae,,3,69,7,,
35,2,,11,2,5,noshade,Salvia colombriae,,3,64,8,,
35,2,,11,3,5,noshade,Salvia colombriae,,3,60,9,,
36,2,,12,1,5,noshade,Salvia colombriae,,2,49,9,,
36,2,,12,2,5,noshade,Salvia colombriae,,2,60,10,,
36,2,,12,3,5,noshade,Salvia colombriae,,,,,,
37,2,,1,1,10,noshade,Salvia colombriae,,4,52,,,
37,2,,1,2,10,noshade,Salvia colombriae,,4,70,,,
37,2,,1,3,10,noshade,Salvia colombriae,,4,63,,,
38,2,,2,1,10,noshade,Salvia colombriae,,0,,,,
38,2,,2,2,10,noshade,Salvia colombriae,,,,,,
38,2,,2,3,10,noshade,Salvia colombriae,,,,,,
